Time	TimeofDay	Shooter Encoder	Shooter Motor 1 Voltage	Shooter Current	
1.627353	1.485312646402E12	0.0	0.0	0.0	
1.717349	1.485312646466E12	0.0	0.0	0.0	
1.817349	1.485312646566E12	0.0	0.0	0.0	
1.917333	1.485312646666E12	0.0	0.0	0.0	
2.017414	1.485312646766E12	0.0	0.0	0.0	
2.1174	1.485312646866E12	0.0	0.0	0.0	
2.217419	1.485312646966E12	0.0	0.0	0.0	
2.317413	1.485312647066E12	0.0	0.0	0.0	
2.417418	1.485312647166E12	0.0	0.0	0.0	
2.517397	1.485312647266E12	0.0	0.0	0.0	
2.617386	1.485312647366E12	0.0	0.0	0.0	
2.717365	1.485312647466E12	0.0	0.0	0.0	
2.817333	1.485312647566E12	0.0	0.0	0.0	
2.917305	1.485312647666E12	0.0	0.0	0.0	
3.017299	1.485312647766E12	0.0	0.0	0.0	
3.117327	1.485312647866E12	0.0	0.0	0.0	
3.217354	1.485312647966E12	0.0	0.0	0.0	
3.317416	1.485312648066E12	0.0	0.0	0.0	
3.417429	1.485312648166E12	0.0	0.0	0.0	
3.530146	1.485312648279E12	0.0	0.0	0.0	
3.630166	1.485312648379E12	0.0	0.0	0.0	
3.730173	1.485312648479E12	0.0	0.0	0.0	
3.830338	1.485312648579E12	0.0	0.0	0.0	
3.930321	1.485312648679E12	0.0	0.0	0.0	
4.030306	1.485312648779E12	0.0	0.0	0.0	
4.130338	1.485312648879E12	0.0	0.0	0.0	
4.230352	1.485312648979E12	0.0	0.0	0.0	
4.330357	1.485312649079E12	0.0	0.0	0.0	
4.430381	1.485312649179E12	0.0	0.0	0.0	
4.530433	1.485312649279E12	0.0	0.0	0.0	
4.630401	1.485312649379E12	0.0	0.0	0.0	
4.730565	1.485312649479E12	0.0	0.0	0.0	
4.830563	1.485312649579E12	0.0	0.0	0.0	
4.930592	1.485312649679E12	0.0	0.0	0.0	
5.030659	1.485312649779E12	0.0	0.0	0.0	
5.130853	1.485312649879E12	0.0	0.0	0.0	
5.230864	1.485312649979E12	0.0	0.0	0.0	
5.330812	1.485312650079E12	0.0	0.0	0.0	
5.430744	1.485312650179E12	0.0	0.0	0.0	
5.53067	1.485312650279E12	0.0	0.0	0.0	
5.630604	1.485312650379E12	0.0	0.0	0.0	
5.73054	1.485312650479E12	0.0	0.0	0.0	
5.831482	1.48531265058E12	0.0	0.0	0.0	
5.932477	1.485312650681E12	0.0	0.0	0.0	
6.033403	1.485312650782E12	0.0	0.0	0.0	
6.134368	1.485312650883E12	0.0	0.0	0.0	
6.234285	1.485312650983E12	0.0	0.0	0.0	
6.334334	1.485312651083E12	0.0	0.0	0.0	
6.434217	1.485312651183E12	0.0	0.0	0.0	
6.534333	1.485312651283E12	0.0	0.0	0.0	
6.634254	1.485312651383E12	0.0	0.0	0.0	
6.734165	1.485312651483E12	0.0	0.0	0.0	
6.834167	1.485312651583E12	0.0	0.0	0.0	
6.934248	1.485312651683E12	0.0	0.0	0.0	
7.034188	1.485312651783E12	0.0	0.0	0.0	
7.134066	1.485312651883E12	0.0	0.0	0.0	
7.234064	1.485312651983E12	0.0	0.0	0.0	
7.333961	1.485312652083E12	0.0	0.0	0.0	
7.43387	1.485312652182E12	0.0	0.0	0.0	
7.533786	1.485312652282E12	0.0	0.0	0.0	
7.633684	1.485312652382E12	0.0	0.0	0.0	
7.73359	1.485312652482E12	0.0	0.0	0.0	
7.833529	1.485312652582E12	0.0	0.0	0.0	
7.934425	1.485312652683E12	0.0	0.0	0.0	
8.035322	1.485312652784E12	0.0	0.0	0.0	
8.137336	1.485312652886E12	0.0	0.0	0.0	
8.237448	1.485312652986E12	0.0	0.0	0.0	
8.337359	1.485312653086E12	0.0	0.0	0.0	
8.438272	1.485312653187E12	0.0	0.0	0.0	
8.538158	1.485312653287E12	0.0	0.0	0.0	
8.63814	1.485312653387E12	0.0	0.0	0.0	
8.73797	1.485312653487E12	0.0	0.0	0.0	
8.837839	1.485312653587E12	0.0	0.0	0.0	
8.937946	1.485312653687E12	0.0	0.0	0.0	
9.037811	1.485312653786E12	0.0	0.0	0.0	
9.13779	1.485312653886E12	0.0	0.0	0.0	
9.237781	1.485312653986E12	0.0	0.0	0.0	
9.337787	1.485312654086E12	0.0	0.0	0.0	
9.437626	1.485312654186E12	0.0	0.0	0.0	
9.537507	1.485312654286E12	0.0	0.0	0.0	
9.638367	1.485312654387E12	0.0	0.0	0.0	
9.739281	1.485312654488E12	0.0	0.0	0.0	
9.839137	1.485312654588E12	0.0	0.0	0.0	
9.939052	1.485312654688E12	0.0	0.0	0.0	
10.038946	1.485312654788E12	0.0	0.0	0.0	
10.138831	1.485312654887E12	0.0	0.0	0.0	
10.238713	1.485312654987E12	0.0	0.0	0.0	
10.338606	1.485312655087E12	0.0	0.0	0.0	
10.438511	1.485312655187E12	0.0	0.0	0.0	
10.539402	1.485312655288E12	0.0	0.0	0.0	
10.640293	1.485312655389E12	0.0	0.0	0.0	
10.740189	1.485312655489E12	0.0	0.0	0.0	
10.840172	1.485312655589E12	0.0	0.0	0.0	
10.940073	1.485312655689E12	0.0	0.0	0.0	
11.039966	1.485312655789E12	0.0	0.0	0.0	
11.139857	1.485312655889E12	0.0	0.0	0.0	
11.239775	1.485312655988E12	0.0	0.0	0.0	
11.339649	1.485312656088E12	0.0	0.0	0.0	
11.439571	1.485312656188E12	0.0	0.0	0.0	
11.539432	1.485312656288E12	0.0	0.0	0.0	
11.640245	1.485312656389E12	0.0	0.0	0.0	
11.740157	1.485312656489E12	0.0	0.0	0.0	
11.840001	1.485312656589E12	0.0	0.0	0.0	
11.939824	1.485312656688E12	0.0	0.0	0.0	
12.03971	1.485312656788E12	0.0	0.0	0.0	
12.139611	1.485312656888E12	0.0	0.0	0.0	
12.239452	1.485312656988E12	0.0	0.0	0.0	
12.340316	1.485312657089E12	0.0	0.0	0.0	
12.441219	1.48531265719E12	0.0	0.0	0.0	
12.541093	1.48531265729E12	0.0	0.0	0.0	
12.640943	1.48531265739E12	0.0	0.0	0.0	
12.740826	1.485312657489E12	0.0	0.0	0.0	
12.84068	1.485312657589E12	0.0	0.0	0.0	
12.940527	1.485312657689E12	0.0	0.0	0.0	
13.040359	1.485312657789E12	0.0	0.0	0.0	
13.14125	1.48531265789E12	0.0	0.0	0.0	
13.241108	1.48531265799E12	0.0	0.0	0.0	
13.341071	1.48531265809E12	0.0	0.0	0.0	
13.440926	1.48531265819E12	0.0	0.0	0.0	
13.540778	1.485312658289E12	0.0	0.0	0.0	
13.640619	1.485312658389E12	0.0	0.0	0.0	
13.740462	1.485312658489E12	0.0	0.0	0.0	
13.841309	1.48531265859E12	0.0	0.0	0.0	
